─ 4/3/2013 ──────────────────────────────────────────────────────────────────────────
00:12   <evondoshsa>     deployed an L1 Resonator on Yellow cab
00:12   <Das>    deployed an L6 Resonator on Duane Reade - FINANCIAL DISTRICT
00:13   <Das>    destroyed an L1 Resonator on Yellow cab
00:13   <Das>    destroyed an L1 Resonator on Yellow cab
00:13   <mdl>    destroyed an L6 Resonator on Washington Square Arch at nigh
00:13   <mdl>    destroyed an L5 Resonator on Washington Square Park
00:13   <mdl>    destroyed an L5 Resonator on Washington Square Park
00:13   <mdl>    destroyed an L5 Resonator on Washington Square
00:13   <mdl>    destroyed an L5 Resonator on Washington Square arch01
00:14   <Das>    deployed an L6 Resonator on Duane Reade - FINANCIAL DISTRICT
00:15   <mdl>    deployed an L7 Resonator on Washington Square Park
00:15   <mdl>    captured Washington Square Park
00:15   <mdl>    destroyed an L5 Resonator on Washington Square
00:15   <mdl>    destroyed an L4 Resonator on George Washington Arch of Triu
00:15   <mdl>    destroyed an L4 Resonator on George Washington Arch of Triu
00:15   <mdl>    destroyed an L6 Resonator on Washington Square Park, NY
00:15   <mdl>    destroyed an L5 Resonator on The Arch
00:15   <mdl>    destroyed an L6 Resonator on The Arch
00:15   <mdl>    destroyed an L5 Resonator on Washington Square Park, NY
00:15   <mdl>    destroyed an L5 Resonator on Washington Square arch01
00:15   <mdl>    destroyed an L6 Resonator on The Arch
00:15   <mdl>    destroyed an L6 Resonator on Washington Square arch01
00:15   <mdl>    destroyed an L5 Resonator on George Washington Arch of Triu
00:15   <mdl>    destroyed an L5 Resonator on The Arch
00:15   <mdl>    destroyed an L6 Resonator on Washington Square Park, NY
00:15   <mdl>    destroyed an L5 Resonator on Washington Square Park, NY
00:15   <evondoshsa>     destroyed an L8 Resonator on Duane Reade - FINANCIAL DISTRICT
00:16   <mdl>    captured The Arch
00:16   <mdl>    deployed an L7 Resonator on The Arch
00:16   <mdl>    deployed an L7 Resonator on Washington Square Park, NY
00:16   <mdl>    captured Washington Square Park, NY
00:17   <mdl>    destroyed an L6 Resonator on Washington Arch
00:17   <mdl>    destroyed an L5 Resonator on Garibaldi Statue
00:17   <mdl>    destroyed an L5 Resonator on [Untitled]
00:17   <mdl>    destroyed an L5 Resonator on George Washington Arch of Triu
00:17   <mdl>    destroyed an L5 Resonator on Garibaldi Statue
00:17   <mdl>    destroyed an L5 Resonator on Washington Arch
00:18   <evondoshsa>     deployed an L5 Resonator on Yellow cab
00:18   <evondoshsa>     captured Yellow cab
00:19   <Das>    deployed an L2 Resonator on Andaz Hotel
00:19   <Das>    deployed an L7 Resonator on Duane Reade - FINANCIAL DISTRICT
00:19   <mdl>    captured Garibaldi Statue
00:19   <mdl>    deployed an L7 Resonator on Garibaldi Statue
00:19   <Das>    deployed an L8 Resonator on Duane Reade - FINANCIAL DISTRICT
00:19   <evondoshsa>     deployed an L5 Resonator on USPS: 1 Hanover Street
00:19   <evondoshsa>     captured USPS: 1 Hanover Street
00:19   <mdl>    destroyed an L5 Resonator on [Untitled]
00:19   <Das>    deployed an L2 Resonator on Andaz Hotel
00:19   <Das>    deployed an L3 Resonator on Andaz Hotel
00:20   <mdl>    destroyed an L6 Resonator on [Untitled]
00:20   <mdl>    destroyed an L6 Resonator on [Untitled]
